Brandenburg	2.449.500	52.031	9.715	300.802	413.338	353.690	5.387	2.185	742	704	61
Berlin	3.375.200	160.220	31.745	27.754	24.225	3.125	21.004	9.648	3.099	2.771	321
Baden-Würtemberg	10.569.100	333.217	79.910	62.226	65.921	6.832	29.802	13.315	4.770	6.803	476
Bayern	12.519.600	332.764	71.317	61.573	55.961	6.372	23.512	10.933	4.208	6.084	451
Bremen	654.800	34.783	7.376	300.802	413.338	353.690	3.695	1.231	834	462	45
Hessen	6.016.500	215.209	39.044	31.943	24.792	3.396	18.488	5.835	2.385	2.416	188
Hamburg	1.734.300	90.903	16.709	14.961	11.744	1.489	7.047	2.358	1.158	942	101
Mecklenburg Vorpommern	1.600.300	39.906	6.571	300.802	413.338	353.690	1.924	857	288	422	23
Niedersachsen	7.779.000	169.626	35.304	30.938	26.373	3.557	11.955	4.463	1.857	2.544	161
Nordrhein Westfalen	17.554.300	544.612	117.877	85.280	66.259	8.749	47.011	15.101	6.090	6.432	540
Schleswig Holstein	2.806.500	54.977	9.755	10.268	1.059	353.690	3.062	1.029	474	605	52
Sachsen Anhalt	2.259.400	55.876	10.118	300.802	413.338	353.690	4.981	1.893	798	596	41
Thüringen	2.170.500	53.231	10.308	11.290	1.134	353.690	4.082	1.913	653	869	73
